1,1,0.01639344262295082,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
1,2,0.01639344262295082,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
2,1,0.03278688524590164,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
2,2,0.03278688524590164,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
3,1,0.04918032786885246,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
3,2,0.04918032786885246,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
4,1,0.06557377049180328,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
4,2,0.06557377049180328,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
5,1,0.08196721311475409,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
5,2,0.08196721311475409,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
6,1,0.09836065573770492,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
6,2,0.09836065573770492,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
7,1,0.11475409836065574,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
7,2,0.11475409836065574,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
8,1,0.13114754098360656,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
8,2,0.13114754098360656,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
9,1,0.14754098360655737,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
9,2,0.14754098360655737,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
10,1,0.16393442622950818,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
10,2,0.16393442622950818,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
11,1,0.18032786885245902,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
11,2,0.18032786885245902,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
12,1,0.19672131147540983,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
12,2,0.19672131147540983,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
13,1,0.21311475409836064,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
13,2,0.21311475409836064,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
14,1,0.22950819672131148,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
14,2,0.22950819672131148,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
15,1,0.2459016393442623,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
15,2,0.2459016393442623,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
16,1,0.26229508196721313,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
16,2,0.26229508196721313,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
17,1,0.2786885245901639,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
17,2,0.2786885245901639,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
18,1,0.29508196721311475,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
18,2,0.29508196721311475,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
19,1,0.3114754098360656,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
19,2,0.3114754098360656,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
20,1,0.32786885245901637,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
20,2,0.32786885245901637,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
21,1,0.3442622950819672,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
21,2,0.3442622950819672,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
22,1,0.36065573770491804,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
22,2,0.36065573770491804,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
23,1,0.3770491803278688,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
