1,1,0.01639344262295082,MyAgent@4,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
1,2,0.01639344262295082,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
2,1,0.03278688524590164,MyAgent@4,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
2,2,0.03278688524590164,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 0 kW,, 22-06: 25 kW,])
3,1,0.04918032786885246,MyAgent@4,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
3,2,0.04918032786885246,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
4,1,0.06557377049180328,MyAgent@4,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 75 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
4,2,0.06557377049180328,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 25 kW,])
5,1,0.08196721311475409,MyAgent@4,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 0 kW,])
5,2,0.08196721311475409,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 0 kW,, 22-06: 75 kW,])
6,1,0.09836065573770492,MyAgent@4,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
6,2,0.09836065573770492,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 0 kW,, 22-06: 75 kW,])
7,1,0.11475409836065574,MyAgent@4,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 100 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
7,2,0.11475409836065574,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
8,1,0.13114754098360656,MyAgent@4,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 25 kW,])
8,2,0.13114754098360656,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
9,1,0.14754098360655737,MyAgent@4,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 75 kW,, 19-22: 100 kW,, 22-06: 0 kW,])
9,2,0.14754098360655737,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 25 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
10,1,0.16393442622950818,MyAgent@4,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
