1,1,0.01639344262295082,BoulwareNegotiationParty@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
1,2,0.01639344262295082,MyAgent@1,(Offer  bid:Bid[price: 1400, HardDisk: 1TB, Monitor: 15])
2,1,0.03278688524590164,BoulwareNegotiationParty@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
2,2,0.03278688524590164,MyAgent@1,(Offer  bid:Bid[price: 1400, HardDisk: 1TB, Monitor: 15])
3,1,0.04918032786885246,BoulwareNegotiationParty@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
3,2,0.04918032786885246,MyAgent@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
4,1,0.06557377049180328,BoulwareNegotiationParty@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
4,2,0.06557377049180328,MyAgent@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
5,1,0.08196721311475409,BoulwareNegotiationParty@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
5,2,0.08196721311475409,MyAgent@1,(Offer  bid:Bid[price: 1400, HardDisk: 1TB, Monitor: 15])
6,1,0.09836065573770492,BoulwareNegotiationParty@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
6,2,0.09836065573770492,MyAgent@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
7,1,0.11475409836065574,BoulwareNegotiationParty@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
7,2,0.11475409836065574,MyAgent@1,(Offer  bid:Bid[price: 1400, HardDisk: 1TB, Monitor: 15])
8,1,0.13114754098360656,BoulwareNegotiationParty@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
8,2,0.13114754098360656,MyAgent@1,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
9,1,0.14754098360655737,BoulwareNegotiationParty@0,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
9,2,0.14754098360655737,MyAgent@1,(Offer  bid:Bid[price: 1400, HardDisk: 1TB, Monitor: 15])
