1,1,1.1751833333333334E-4,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
1,2,2.2297E-4,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
2,1,3.105633333333333E-4,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
2,2,4.109166666666667E-4,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
3,1,4.8757166666666665E-4,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
3,2,5.252633333333333E-4,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
4,1,6.3174E-4,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
4,2,7.745933333333333E-4,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
5,1,8.225416666666666E-4,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
5,2,8.553783333333333E-4,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
6,1,9.182316666666667E-4,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
6,2,9.720733333333333E-4,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
7,1,9.963316666666666E-4,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
7,2,0.0011192916666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
8,1,0.00115791,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
8,2,0.0012425516666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
9,1,0.0013055033333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
9,2,0.0013825616666666668,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
10,1,0.0014233216666666667,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
10,2,0.0014643533333333334,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
11,1,0.0015110816666666668,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
11,2,0.001579425,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
12,1,0.0016348333333333332,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
12,2,0.0016695066666666668,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
13,1,0.001713165,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
13,2,0.0017640283333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
14,1,0.0017970166666666668,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
14,2,0.0018689133333333334,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
15,1,0.0018989033333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
15,2,0.0019397833333333334,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
16,1,0.0019734133333333334,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
16,2,0.0020230816666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
17,1,0.0020649066666666668,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
17,2,0.0021128466666666666,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
18,1,0.0021798499999999997,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
18,2,0.002251046666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
19,1,0.0022787783333333336,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
19,2,0.002320498333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
20,1,0.0023507383333333334,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
20,2,0.0023811433333333337,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
21,1,0.00243004,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
21,2,0.002478116666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
22,1,0.002500875,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
22,2,0.0025301016666666666,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
23,1,0.00256482,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
23,2,0.002632291666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
24,1,0.00266963,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
24,2,0.00277216,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
25,1,0.002848658333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
25,2,0.00289652,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
26,1,0.002939905,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
26,2,0.0030213333333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
27,1,0.0030482316666666665,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
27,2,0.0030710033333333337,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
28,1,0.0031027483333333334,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
28,2,0.0031565549999999997,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
29,1,0.0031948149999999997,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
29,2,0.00323016,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
30,1,0.003284655,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
30,2,0.0033673683333333335,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
31,1,0.0034096866666666666,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
31,2,0.0034819966666666665,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
32,1,0.0035604016666666667,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
32,2,0.0036018383333333336,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
33,1,0.0036325,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
33,2,0.003690778333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
34,1,0.0037658166666666667,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
34,2,0.0038771266666666666,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
35,1,0.003910466666666667,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
35,2,0.003957895,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
36,1,0.00398917,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
36,2,0.0040363633333333334,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
37,1,0.004081346666666667,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
37,2,0.004127098333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
38,1,0.004164923333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
38,2,0.0042219016666666664,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
39,1,0.00424605,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
39,2,0.004278204999999999,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
40,1,0.004308271666666667,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
40,2,0.004422253333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
41,1,0.004464438333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
41,2,0.004508796666666666,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
42,1,0.004543881666666667,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
42,2,0.004757691666666666,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
43,1,0.004800748333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
43,2,0.004848626666666666,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
44,1,0.004885031666666667,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
44,2,0.004983811666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
45,1,0.005028728333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
45,2,0.005078731666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
46,1,0.005121700000000001,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
46,2,0.005226054999999999,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
47,1,0.005275976666666667,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
47,2,0.005420288333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
48,1,0.00549394,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
48,2,0.00555994,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
49,1,0.0056138866666666665,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
49,2,0.005676808333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
50,1,0.00573976,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
50,2,0.0058449899999999996,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
51,1,0.005939018333333334,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
51,2,0.006101733333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
52,1,0.006146098333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
52,2,0.006250111666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
53,1,0.006341138333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
53,2,0.006501166666666666,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
54,1,0.006609536666666666,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
54,2,0.006664048333333334,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
55,1,0.006749023333333334,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
55,2,0.006817551666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
56,1,0.006935546666666667,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
56,2,0.007039786666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
57,1,0.007076405,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
57,2,0.007117238333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
58,1,0.007164638333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
58,2,0.0072087516666666665,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
59,1,0.007241705,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
59,2,0.007296371666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
60,1,0.007370776666666666,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
60,2,0.007456235,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
61,1,0.0074843466666666665,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
61,2,0.007533805,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
62,1,0.007563434999999999,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
62,2,0.007598441666666666,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
63,1,0.007622721666666666,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
63,2,0.0076501600000000005,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
64,1,0.0076705950000000005,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
64,2,0.007710676666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
65,1,0.007743588333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
65,2,0.0078023933333333335,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
66,1,0.007874686666666667,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
66,2,0.007926978333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
67,1,0.008009683333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
67,2,0.008065056666666666,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
68,1,0.008090323333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
68,2,0.008119698333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
69,1,0.008149231666666666,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
69,2,0.008203225,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
70,1,0.008325526666666668,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
70,2,0.008393476666666667,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
71,1,0.008425528333333333,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
71,2,0.008502128333333333,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
72,1,0.008545718333333334,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
72,2,0.008602835,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
73,1,0.008657181666666668,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
73,2,0.008792248333333334,KLH@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
74,1,0.008849496666666668,Agent46@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
