1,1,1.2898666666666666E-4,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
1,2,2.7368166666666665E-4,AgentSmith@5,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
2,1,2.94185E-4,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
2,2,7.074916666666667E-4,AgentSmith@5,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 15])
3,1,7.282233333333333E-4,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
3,2,7.497133333333334E-4,AgentSmith@5,(Offer  bid:Bid[price: 1400, HardDisk: 1TB, Monitor: 15])
4,1,7.653083333333334E-4,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
4,2,7.949066666666666E-4,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
5,1,8.110733333333333E-4,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
5,2,8.351566666666666E-4,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
6,1,8.60015E-4,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
6,2,8.908066666666667E-4,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
7,1,9.115583333333333E-4,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
7,2,9.65145E-4,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
8,1,0.00100265,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
8,2,0.0010818033333333333,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
9,1,0.0011495116666666665,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
9,2,0.001281995,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
10,1,0.0013504266666666668,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
10,2,0.0014155116666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
11,1,0.0015746583333333332,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
11,2,0.0017004916666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
12,1,0.0017200433333333335,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
12,2,0.00182683,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
13,1,0.0018644833333333333,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
13,2,0.0018945833333333334,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
14,1,0.001923805,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
14,2,0.0019467533333333332,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
15,1,0.001972975,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
15,2,0.0020064333333333333,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
16,1,0.0020620216666666666,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
16,2,0.002161426666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
17,1,0.0021895866666666666,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
17,2,0.0022303583333333336,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
18,1,0.002276598333333333,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
18,2,0.0023607516666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
19,1,0.002419695,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
19,2,0.00246747,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
20,1,0.0025076350000000002,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
20,2,0.0025340383333333333,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
21,1,0.002558261666666667,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
21,2,0.002638523333333333,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
22,1,0.0027202016666666665,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
22,2,0.002770243333333333,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
23,1,0.002809231666666667,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
23,2,0.00291645,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
24,1,0.0029668416666666663,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
24,2,0.0030300383333333332,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
25,1,0.0030628266666666666,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
25,2,0.0030877016666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
26,1,0.0031049166666666664,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
26,2,0.0031312316666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
27,1,0.003189168333333333,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
27,2,0.0032142166666666665,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
28,1,0.0032502166666666665,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
28,2,0.0032730116666666665,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
29,1,0.0032881016666666666,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
29,2,0.0033067816666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
30,1,0.003336168333333333,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
30,2,0.0034264816666666666,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
31,1,0.003495161666666667,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
31,2,0.003525593333333333,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
32,1,0.0035500233333333334,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
32,2,0.0035979416666666666,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
33,1,0.0036605833333333334,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
33,2,0.0038262416666666665,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
34,1,0.0038541866666666666,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
34,2,0.00387766,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
35,1,0.003893203333333333,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
35,2,0.003913153333333333,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
36,1,0.004039353333333333,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
36,2,0.004065243333333334,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
37,1,0.00409097,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
37,2,0.004130353333333333,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
38,1,0.004154195,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
38,2,0.0042405766666666666,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
39,1,0.0043159083333333325,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
39,2,0.004354595,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
40,1,0.004373463333333333,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
40,2,0.004468858333333334,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
41,1,0.004504503333333334,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
41,2,0.004640521666666666,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
42,1,0.004677681666666667,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
42,2,0.004724221666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
43,1,0.004802525,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
43,2,0.004886988333333333,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
44,1,0.004926265,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
44,2,0.004951273333333334,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
45,1,0.004981995,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
45,2,0.00506434,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
46,1,0.005085896666666667,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
46,2,0.005151606666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
47,1,0.0051740016666666664,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
47,2,0.005200836666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
48,1,0.005240263333333333,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
48,2,0.005287373333333333,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
49,1,0.005336176666666667,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
49,2,0.00541584,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
50,1,0.005450721666666667,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
50,2,0.005471898333333333,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
51,1,0.005504993333333334,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
51,2,0.005541946666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
52,1,0.005568571666666666,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
52,2,0.005597111666666666,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
53,1,0.0056114166666666665,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
53,2,0.005645369999999999,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
54,1,0.005679763333333334,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
54,2,0.005717706666666667,AgentSmith@5,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
55,1,0.0057428466666666666,BoulwareNegotiationParty@4,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
