sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Profile 1;Profile 2;Profile 3
0.060;11;;60rounds;Yes;No;3;0.61583;0.66674;0.22554;0.31872;1.93378;ConcederNegotiationParty@0;ConcederNegotiationParty@1;ConcederNegotiationParty@2;0.6158333333333333;0.6667397204207399;0.6512111837763797;0.6158333333333333;0.6667397204207399;0.6512111837763797;0.6158333333333333;0.6667397204207399;0.6512111837763797;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.532;33;;60rounds;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;MyAgent@3;ConcederNegotiationParty@4;ConcederNegotiationParty@5;1.0;0.2969260373579895;0.5968500104495003;1.0;0.2969260373579895;0.5968500104495003;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.119;30;;60rounds;Yes;No;3;0.49465;0.97500;0.00000;0.48526;2.08197;BoulwareNegotiationParty@6;ConcederNegotiationParty@7;ConcederNegotiationParty@8;0.975;0.49464690002105177;0.6123211348649507;0.975;0.49464690002105177;0.6123211348649507;0.975;0.49464690002105177;0.6123211348649507;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.194;14;;60rounds;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;ConcederNegotiationParty@9;MyAgent@10;ConcederNegotiationParty@11;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.481;61;;60rounds;No;No;2;0.00000;0.00000;1.16612;1.41191;0.00000;MyAgent@12;MyAgent@13;ConcederNegotiationParty@14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.778;52;;60rounds;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;BoulwareNegotiationParty@15;MyAgent@16;ConcederNegotiationParty@17;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.053;14;;60rounds;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;ConcederNegotiationParty@18;BoulwareNegotiationParty@19;ConcederNegotiationParty@20;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.908;59;;60rounds;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;MyAgent@21;BoulwareNegotiationParty@22;ConcederNegotiationParty@23;1.0;0.2969260373579895;0.5968500104495003;1.0;0.2969260373579895;0.5968500104495003;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.308;51;;60rounds;Yes;No;3;0.59674;0.69869;0.19673;0.28305;1.96793;BoulwareNegotiationParty@24;BoulwareNegotiationParty@25;ConcederNegotiationParty@26;0.6725;0.69869077026364;0.5967404547653536;0.6725;0.69869077026364;0.5967404547653536;0.6725;0.69869077026364;0.5967404547653536;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.375;22;;60rounds;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;ConcederNegotiationParty@27;ConcederNegotiationParty@28;MyAgent@29;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
